Category: All categories

Week,covid: (United States)
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,7
2020-03-08,29
2020-03-15,76
2020-03-22,89
2020-03-29,91
2020-04-05,82
2020-04-12,64
2020-04-19,60
2020-04-26,54
2020-05-03,53
2020-05-10,52
2020-05-17,47
2020-05-24,44
2020-05-31,36
2020-06-07,40
2020-06-14,49
2020-06-21,66
2020-06-28,76
2020-07-05,77
2020-07-12,79
2020-07-19,67
2020-07-26,68
2020-08-02,59
2020-08-09,54
2020-08-16,48
2020-08-23,44
2020-08-30,45
2020-09-06,40
2020-09-13,39
2020-09-20,40
2020-09-27,51
2020-10-04,53
2020-10-11,45
2020-10-18,50
2020-10-25,56
2020-11-01,46
2020-11-08,78
2020-11-15,100
2020-11-22,75
2020-11-29,75
2020-12-06,81
2020-12-13,81
2020-12-20,81
2020-12-27,83
2021-01-03,82
2021-01-10,86
2021-01-17,84
2021-01-24,79
2021-01-31,74
