Category: All categories

Week,COVID-19 testing: (United States)
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,2
2020-03-08,12
2020-03-15,26
2020-03-22,20
2020-03-29,16
2020-04-05,14
2020-04-12,13
2020-04-19,14
2020-04-26,14
2020-05-03,15
2020-05-10,16
2020-05-17,16
2020-05-24,15
2020-05-31,15
2020-06-07,20
2020-06-14,30
2020-06-21,49
2020-06-28,59
2020-07-05,59
2020-07-12,53
2020-07-19,43
2020-07-26,40
2020-08-02,38
2020-08-09,33
2020-08-16,29
2020-08-23,28
2020-08-30,27
2020-09-06,25
2020-09-13,24
2020-09-20,26
2020-09-27,34
2020-10-04,39
2020-10-11,37
2020-10-18,41
2020-10-25,47
2020-11-01,46
2020-11-08,71
2020-11-15,100
2020-11-22,78
2020-11-29,72
2020-12-06,72
2020-12-13,77
2020-12-20,80
2020-12-27,76
2021-01-03,71
2021-01-10,59
2021-01-17,51
2021-01-24,46
2021-01-31,42
